what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1586260939457
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1586260939457
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1586260939457
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1586260939467
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1586260939467
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1586260939467
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1586260939467
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1586260939467
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1586260939467
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1586260939467
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1586260939467
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1586260939467
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1586260939477
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1586260939477
started,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1586260939477
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1586260939477
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1586260939477
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1586260939477
os,sysinfo,,,"win32",1586260939477
arch,sysinfo,,,"x86",1586260939477
ws,sysinfo,,,"win32",1586260939477
locale,sysinfo,,,"en_NZ",1586260939477
processors,sysinfo,,,"4",1586260939477
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1586260939477
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1586260939477
java.specification.name,sysinfo,,,"Java Platform API Specification",1586260939477
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1586260939477
java.specification.version,sysinfo,,,"1.6",1586260939477
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1586260939477
java.version,sysinfo,,,"1.6.0_23",1586260939477
java.vm.info,sysinfo,,,"mixed mode",1586260939477
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1586260939477
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1586260939477
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1586260939477
java.vm.specification.version,sysinfo,,,"1.0",1586260939477
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1586260939477
java.vm.version,sysinfo,,,"19.0-b09",1586260939477
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1586260939717
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1586260940397
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1586260944337
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586260944467
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586260944557
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1586260944817
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1586260950017
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1586260950607
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1586260952517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586260952857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586260953597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586260955807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586260957067
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1586260965456
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1586260965476
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1586260965476
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1586260965476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586260965506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586260968286
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1586260984236
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1586260984236
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1586260984706
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1586260987196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586260987966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586260988946
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1586260989086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586260989166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1586260989505
